Generation,Best_Reward,Avg_Time_s,Perfect_Trials
1,78.5,1.57,0
2,146.75,2.935,0
3,550.85,11.017000000000001,0
4,2697.05,53.941,6
5,3919.1,78.382,10
6,4157.2,83.14399999999999,13
7,4627.85,92.557,16
8,4902.2,98.044,19
9,4815.65,96.31299999999999,17
10,4734.35,94.68700000000001,16
11,4758.15,95.163,16
12,4896.55,97.93100000000001,19
13,4761.35,95.227,17
14,4796.9,95.93799999999999,18
15,4843.9,96.878,19
16,4966.6,99.33200000000001,19
17,4825.5,96.51,18
18,4789.25,95.785,17
19,4930.45,98.609,19
20,4773.95,95.479,16
21,5000.0,100.0,20
22,4888.45,97.769,19
23,4980.1,99.602,19
24,4851.25,97.025,17
25,4808.0,96.16,18
26,5000.0,100.0,20
27,4895.95,97.919,18
28,4830.0,96.60000000000001,16
29,4951.9,99.038,17
30,4886.0,97.72,17
31,4898.55,97.971,19
32,4852.2,97.044,18
33,4945.7,98.914,17
34,4851.15,97.023,17
35,4952.75,99.055,17
36,4958.9,99.178,19
37,4794.1,95.882,16
38,4940.45,98.809,16
39,4803.9,96.07799999999999,17
40,4858.55,97.171,18
41,4862.1,97.242,18
42,4887.6,97.75200000000001,17
43,4845.8,96.91600000000001,18
44,4830.6,96.61200000000001,17
45,4843.5,96.87,19
46,4815.9,96.318,18
47,4963.15,99.26299999999999,18
48,4818.45,96.369,17
49,4958.6,99.17200000000001,18
50,4720.0,94.4,17
51,4969.95,99.399,19
52,4951.65,99.033,18
53,5000.0,100.0,20
54,4789.15,95.783,18
55,4999.6,99.992,19
56,4974.3,99.486,18
57,4785.2,95.704,17
58,4783.3,95.66600000000001,17
59,4842.05,96.84100000000001,18
60,4994.0,99.88,19
61,4734.45,94.689,18
62,4766.6,95.33200000000001,17
63,4840.95,96.819,16
64,4833.1,96.662,18
65,4831.65,96.633,16
66,4777.0,95.54,17
67,4780.15,95.603,17
68,4785.6,95.712,19
69,4854.25,97.08500000000001,18
70,4782.4,95.648,16
71,5000.0,100.0,20
72,4887.45,97.749,18
73,4929.7,98.594,19
74,4803.05,96.061,18
75,4805.95,96.119,17
76,4846.7,96.934,18
77,4821.65,96.43299999999999,19
78,4681.25,93.625,17
79,4749.8,94.99600000000001,16
80,4796.65,95.93299999999999,16
81,4833.45,96.669,19
82,4859.9,97.198,17
83,4859.15,97.18299999999999,18
84,4954.3,99.08600000000001,18
85,4867.75,97.355,17
86,4817.25,96.345,16
87,4869.85,97.397,19
88,4868.7,97.374,18
89,4780.2,95.604,19
90,4979.0,99.58,19
91,4974.05,99.48100000000001,19
92,4863.1,97.26200000000001,19
93,4909.45,98.189,19
94,4836.05,96.721,17
95,4824.3,96.486,18
96,4885.3,97.706,18
97,4796.55,95.93100000000001,18
98,4831.35,96.62700000000001,18
99,4802.05,96.04100000000001,18
100,4777.8,95.55600000000001,18
